Borrower Name,Current Approval Amount,Number of Loans,State,NAICS Title,borrower_id
"99 RESTAURANTS HOLDINGS, LLC",10000000,1,TN,Full-Service Restaurants,699939
AAC HOLDINGS INC,10000000,1,TN,All Other Outpatient Care Centers,699941
"ABUELO'S INTERNATIONAL, L.P.",10000000,1,TX,Full-Service Restaurants,714548
ACCESS COMMUNITY HEALTH NETWORK,10000000,1,IL,Offices of Physicians (except Mental Health Specialists),271829
"ACCURATE BACKGROUND, LLC",10000000,1,CA,Investigation and Personal Background Check Services,32276
ACCURATE PERSONNEL LLC,10000000,1,IL,Temporary Help Services,271837
ACME TRUCK LINE INC,10000000,1,LA,"General Freight Trucking, Long-Distance, Truckload",338827
ACTION ENTERPRISE HOLDINGS LLC,12000000,2,AL,"Specialized Freight (except Used Goods) Trucking, Local",2389
ADAM'S EUROPEAN CONTRACTING INC.,10000000,1,NY,New Multifamily Housing Construction (except For-Sale Builders),536208
"ADVANCE CARE ALLIANCE OF NY, INC.",10000000,1,NY,Office Administrative Services,536225
"ADVANCED CALL CENTER TECHNOLOGIES, LLC",10000000,1,PA,Telemarketing Bureaus and Other Contact Centers,648281
"ADVANCED CLINICAL HOLDINGS, INC.",10000000,1,IL,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",271838
"ADVANTAGE CONSULTING AND EDUCATIONAL SERVICES, INC",10000000,1,MI,Nursing Care Facilities (Skilled Nursing Facilities),396541
"AGRIMARK, INC.",10000000,1,MA,Fluid Milk Manufacturing,351229
AIR WISCONSIN AIRLINES LLC,10000000,1,WI,Scheduled Passenger Air Transportation,834433
"AKASH MANAGEMENT, LLC",10000000,1,CA,Limited-Service Restaurants,32295
"ALAMO DRAFTHOUSE CINEMAS HOLDINGS, LLC",10000000,1,TX,Full-Service Restaurants,714534
"ALBIREO ENERGY, LLC",10000000,1,NJ,Other Building Equipment Contractors,497293
ALLAN BRITEWAY ELECTRICAL CONTRACTORS INC.,10000000,1,NY,Electrical Contractors and Other Wiring Installation Contractors,536189
ALLERGY PARTNERS PLLC,10000000,1,NC,Offices of Physicians (except Mental Health Specialists),464110
"ALVARADO CONCEPTS, LLC",10000000,1,CO,Limited-Service Restaurants,145818
"AMERICAN FAMILY CARE, INC.",10000000,1,AL,Offices of Physicians (except Mental Health Specialists),2391
"AMERICAN FURNITURE RENTALS, INC.",10000000,1,NJ,All Other Consumer Goods Rental,497294
"AMERICAN GUARD SERVICES, INC.",10000000,1,CA,Security Guards and Patrol Services,32311
"AMERICARE, INC.",10000000,1,NY,Home Health Care Services,536239
"ANCHOR HOCKING, LLC",10000000,1,OH,Other Pressed and Blown Glass and Glassware Manufacturing,599995
"ARIZONA COMMUNITY PHYSICIANS, P.C.",10000000,1,AZ,Offices of Physicians (except Mental Health Specialists),17875
ASPIRE OF WESTERN NEW YORK INC.,10000000,1,NY,Services for the Elderly and Persons with Disabilities,536272
ASSISTCARE HOME HEALTH SERVICES LLC,10000000,1,NY,Home Health Care Services,536218
ASSOCIATED MILK PRODUCERS INC,10000000,1,MN,Cheese Manufacturing,422919
"ATLANTA RESTAURANT PARTNERS, LLC",10000000,1,GA,Full-Service Restaurants,232756
